desc,accession,gene.name,is.forward,coords
Culex-associated Tombus-like virus,NC_040575,hypothetical protein,TRUE,149:1151
Culex-associated Tombus-like virus,NC_040575,hypothetical protein,TRUE,796:2476
Elderberry aureusvirus 1,NC_040713,coat protein,TRUE,0:1134
Yongsan tombus-like virus 1,NC_040725,hypothetical protein 1,TRUE,121:1147
Yongsan tombus-like virus 1,NC_040725,hypothetical protein 2,TRUE,1183:2623
Yongsan tombus-like virus 1,NC_040725,hypothetical protein 3,TRUE,2632:3859
Rice virus A,NC_035452,RNA directed-RNA polymerase,TRUE,45:2451
Rice virus A,NC_035452,p32,TRUE,45:888
Rice virus A,NC_035452,virus coat protein,TRUE,2657:4019
Rice virus A,NC_035452,movement protein,TRUE,4055:4727
Rice virus A,NC_035452,silencing suppressor protein,TRUE,4183:4558
Ixeridium yellow mottle virus 2,NC_034243,RNA-dependent RNA polymerase,TRUE,179:1135;1134:2797
Ixeridium yellow mottle virus 2,NC_034243,hypothetical protein,TRUE,179:1142
Ixeridium yellow mottle virus 2,NC_034243,putative long-distance movement protein,TRUE,3007:3715
Ixeridium yellow mottle virus 2,NC_034243,putative movement protein,TRUE,3023:3776
Clematis chlorotic mottle virus,NC_033777,p86 putative replicase protein,TRUE,9:2280
Clematis chlorotic mottle virus,NC_033777,p26,TRUE,9:714
Clematis chlorotic mottle virus,NC_033777,MP-1,TRUE,2246:2453
Clematis chlorotic mottle virus,NC_033777,MP-2,TRUE,2364:2622
Clematis chlorotic mottle virus,NC_033777,p37,TRUE,2611:3625
Bermuda grass latent virus,NC_032405,RNA-dependent RNA polymerase,TRUE,44:2783
Bermuda grass latent virus,NC_032405,replicase protein,TRUE,44:1046
Bermuda grass latent virus,NC_032405,putative movement protein 1,TRUE,2611:2827
Bermuda grass latent virus,NC_032405,putative movement protein 2,TRUE,2828:3011
Bermuda grass latent virus,NC_032405,coat protein,TRUE,3007:3733
Bermuda grass latent virus,NC_032405,putative accessory movemet protein,TRUE,3011:3428
Gompholobium virus A,NC_030742,putative RNA dependent RNA polymerase,TRUE,63:2397
Gompholobium virus A,NC_030742,replication-associated protein,TRUE,63:837
Gompholobium virus A,NC_030742,movement protein 1,TRUE,2375:2576
Gompholobium virus A,NC_030742,movement protein 2,TRUE,2478:2733
Gompholobium virus A,NC_030742,coat protein,TRUE,2733:3777
