"","Genome","Accession","Source.information","Topology","Taxonomy","Molecule.type","Genome.length","Number.of.proteins","Host","Date.completed","Date.updated","first.acc","n.overlaps","len.overlaps"
"1","Bat adenovirus 2","NC_015932","strain:PPV1; serotype:2","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bat mastadenovirus B']","DNA",31616,30,"vertebrates","09/02/2011","08/13/2018","NC_015932",12,124.916666666667
"2","Bat adenovirus TJM","NC_016895","strain:TJM","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bat mastadenovirus A']","DNA",31806,30,"vertebrates","02/26/2012","08/13/2018","NC_016895",15,105.466666666667
"3","Bat mastadenovirus G","NC_031948","isolate:250-A","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",31481,32,"vertebrates","11/17/2016","02/23/2019","NC_031948",14,103.857142857143
"4","Bat mastadenovirus WIV18","NC_035072","isolate:WIV18","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",29812,30,"vertebrates","09/21/2017","08/13/2018","NC_035072",12,90.3333333333333
"5","Bat mastadenovirus WIV10","NC_029899","isolate:WIV10","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",37556,33,"vertebrates","04/20/2016","08/13/2018","NC_029899",10,246.9
"6","Bat mastadenovirus WIV11","NC_029902","isolate:WIV11","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",38073,33,"vertebrates","04/20/2016","08/13/2018","NC_029902",10,246
"7","Bat mastadenovirus WIV9","NC_029898","isolate:WIV9","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",37545,33,"vertebrates","04/20/2016","08/13/2018","NC_029898",10,247.8
"8","Bat mastadenovirus WIV12","NC_030860","isolate:WIV12","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",29581,28,"vertebrates","09/09/2016","08/13/2018","NC_030860",9,114
"9","Bat mastadenovirus WIV13","NC_030874","isolate:WIV13","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",29162,27,"vertebrates","09/09/2016","08/13/2018","NC_030874",9,112.333333333333
"10","Bat mastadenovirus WIV17","NC_034626","isolate:WIV17","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",29923,29,"vertebrates","05/24/2017","08/13/2018","NC_034626",11,71
"11","Bottlenose dolphin adenovirus 1","NC_038333","strain:Tt11018","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",29474,28,"vertebrates","08/24/2018","08/24/2018","NC_038333",12,149.75
"12","Bovine adenovirus 10","NC_043093","isolate:Ma268","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bovine mastadenovirus C']","DNA",571,1,"vertebrates","06/28/2019","06/28/2019","NC_043093",0,NA
"13","Bovine adenovirus 2","NC_002513","-","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Ovine mastadenovirus A']","DNA",33034,11,"vertebrates","08/15/2000","08/13/2018","NC_002513",4,43
"14","Bovine adenovirus 3","NC_001876","strain:WBR-1","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bovine mastadenovirus B']","DNA",34446,28,"vertebrates","03/06/1998","08/13/2018","NC_001876",4,138
"15","Bovine adenovirus 6","NC_020074","strain:671130; serotype:Bovine adenovirus E","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",30024,30,"vertebrates","01/04/2013","08/13/2018","NC_020074",7,65.1428571428571
"16","Bovine atadenovirus D","NC_002685","strain:THT/62; serotype:4","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",31301,36,"vertebrates","11/27/1997","08/13/2018","NC_002685",25,149.12
"17","California sea lion adenovirus 1","NC_024150","strain:Zc11-030","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",31709,30,"vertebrates","05/28/2014","08/13/2018","NC_024150",10,157.1
"18","Canine mastadenovirus A","NC_001734","type:1; isolate:RI261","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",30536,30,"vertebrates","09/05/1996","08/13/2018","NC_001734",10,145.7
"19","Chimpanzee adenovirus Y25","NC_017825","-","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Human mastadenovirus E']","DNA",36711,31,"vertebrates","05/04/2012","08/13/2018","NC_017825",10,204.6
"20","Human mastadenovirus E","NC_003266","strain:vaccine (CL 68578); serotype:human adenovirus 4","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35994,37,"vertebrates","11/27/2001","08/13/2018","NC_003266",13,157.307692307692
"21","Cynomolgus adenovirus 1","NC_034382","isolate:UK/UK-1/2004","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",35555,32,"vertebrates","04/26/2017","08/25/2018","NC_034382",10,143.5
"22","Deer mastadenovirus B","NC_034834","isolate:1319","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus']","DNA",33945,28,"vertebrates","05/30/2017","02/23/2019","NC_034834",5,92.6
"23","Duck adenovirus 2","NC_024486","strain:GR","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus']","DNA",43734,36,"vertebrates","07/24/2014","08/13/2018","NC_024486",24,76.125
"24","Duck atadenovirus A","NC_001813","strain:127; serotype:Duck adenovirus 1","linear","['Viruses', 'Adenoviridae', 'Atadenovirus']","DNA",33213,29,"vertebrates","05/31/1997","08/13/2018","NC_001813",6,43.8333333333333
"25","Equine adenovirus 1","NC_030792","strain:M1","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Equine mastadenovirus A']","DNA",32690,31,"vertebrates","08/24/2016","08/13/2018","NC_030792",14,266.285714285714
"26","Equine adenovirus 2","NC_027705","isolate:EAdV2.385/75.9","linear","['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Equine mastadenovirus B']","DNA",33090,34,"vertebrates","08/18/2015","08/13/2018","NC_027705",15,145.333333333333
"27","Falconid adenovirus 1","NC_043092","-","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Falcon aviadenovirus A']","DNA",1276,1,"vertebrates","06/28/2019","06/28/2019","NC_043092",0,NA
"28","Fowl aviadenovirus 5","NC_021221","strain:340","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Fowl aviadenovirus B']","DNA",45781,39,"vertebrates","05/16/2013","08/13/2018","NC_021221",24,75.25
"29","Fowl aviadenovirus 6","NC_038332","strain:CR119; serotype:fowl adenovirus 6","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus', 'Fowl aviadenovirus E']","DNA",43810,37,"vertebrates","08/24/2018","08/24/2018","NC_038332",20,67.75
"30","Fowl aviadenovirus E","NC_014969","isolate:HG","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus']","DNA",44055,46,"vertebrates","01/27/2011","08/13/2018","NC_014969",13,132.153846153846
"31","Fowl aviadenovirus A","NC_001720","strain:Phelps (ATCC VR-432); serotype:Fowl adenovirus 1","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus']","DNA",43804,39,"vertebrates","05/16/1996","08/13/2018","NC_001720",14,207.071428571429
"32","Fowl aviadenovirus C","NC_015323","serotype:4; isolate:ON1","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus']","DNA",45667,46,"vertebrates","04/01/2011","08/13/2018","NC_015323",12,53.4166666666667
"33","Fowl aviadenovirus D","NC_000899","strain:A-2A; serotype:Fowl adenovirus 9","linear","['Viruses', 'Adenoviridae', 'Aviadenovirus']","DNA",45063,29,"vertebrates","08/19/1999","08/13/2018","NC_000899",2,4
