,Unnamed: 0,Genome,Accession,Source.information,Topology,Taxonomy,Molecule.type,Genome.length,Number.of.proteins,Host,Date.completed,Date.updated,first.acc,n.overlaps,len.overlaps,baltimore.class,family
0,1,Bat adenovirus 2,NC_015932,strain:PPV1; serotype:2,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bat mastadenovirus B']",DNA,31616,30.0,vertebrates,09/02/2011,08/13/2018,NC_015932,12.0,124.916666666667,ds_DNA,Adenoviridae
1,2,Bat adenovirus TJM,NC_016895,strain:TJM,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus', 'Bat mastadenovirus A']",DNA,31806,30.0,vertebrates,02/26/2012,08/13/2018,NC_016895,15.0,105.46666666666701,ds_DNA,Adenoviridae
2,3,Bat mastadenovirus G,NC_031948,isolate:250-A,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,31481,32.0,vertebrates,11/17/2016,02/23/2019,NC_031948,14.0,103.857142857143,ds_DNA,Adenoviridae
3,4,Bat mastadenovirus WIV18,NC_035072,isolate:WIV18,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,29812,30.0,vertebrates,09/21/2017,08/13/2018,NC_035072,12.0,90.3333333333333,ds_DNA,Adenoviridae
4,5,Bat mastadenovirus WIV10,NC_029899,isolate:WIV10,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,37556,33.0,vertebrates,04/20/2016,08/13/2018,NC_029899,10.0,246.9,ds_DNA,Adenoviridae
5,6,Bat mastadenovirus WIV11,NC_029902,isolate:WIV11,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,38073,33.0,vertebrates,04/20/2016,08/13/2018,NC_029902,10.0,246.0,ds_DNA,Adenoviridae
6,7,Bat mastadenovirus WIV9,NC_029898,isolate:WIV9,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,37545,33.0,vertebrates,04/20/2016,08/13/2018,NC_029898,10.0,247.8,ds_DNA,Adenoviridae
7,8,Bat mastadenovirus WIV12,NC_030860,isolate:WIV12,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,29581,28.0,vertebrates,09/09/2016,08/13/2018,NC_030860,9.0,114.0,ds_DNA,Adenoviridae
8,9,Bat mastadenovirus WIV13,NC_030874,isolate:WIV13,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,29162,27.0,vertebrates,09/09/2016,08/13/2018,NC_030874,9.0,112.333333333333,ds_DNA,Adenoviridae
9,10,Bat mastadenovirus WIV17,NC_034626,isolate:WIV17,linear,"['Viruses', 'Adenoviridae', 'Mastadenovirus']",DNA,29923,29.0,vertebrates,05/24/2017,08/13/2018,NC_034626,11.0,71.0,ds_DNA,Adenoviridae
